gar_bro_id,date,gmw_bro_id,nitg_code,tube_number,screen_top_m_nap,screen_bottom_m_nap,ground_level_m_nap,screen_depth_below_ground_m,NO3_mgL,NO3_limit,NH4_mgL,NH4_limit,NO2_mgL,NO2_limit,Cl_mgL,SO4_mgL
GAR000000012564,1994-02-10,GMW000000034124,B32A0458,6,-119.95,-120.95,4.12,125.07,,,,,,,,
GAR000000012565,2009-07-08,GMW000000034124,B32A0458,6,-119.95,-120.95,4.12,125.07,0.05,LT,0.29,,,,,19
GAR000000012566,2018-10-26,GMW000000034124,B32A0458,6,-119.95,-120.95,4.12,125.07,0.05,LT,0.31,,0.01,LT,5,12
GAR000000060183,1991-12-11,GMW000000051055,B42H0039,9,-119.5,-120.5,-0.54,119.96,,,,,,,,17931
GAR000000060231,1995-08-21,GMW000000051055,B42H0039,9,-119.5,-120.5,-0.54,119.96,,,,,,,,16705
GAR000000060260,1990-08-20,GMW000000051055,B42H0039,9,-119.5,-120.5,-0.54,119.96,,,,,,,,18140
GAR000000060324,1993-06-09,GMW000000051055,B42H0039,9,-119.5,-120.5,-0.54,119.96,,,,,,,,16587
GAR000000060411,1997-06-05,GMW000000051055,B42H0039,9,-119.5,-120.5,-0.54,119.96,,,,,,,,16375
GAR000000060509,1993-01-01,GMW000000051055,B42H0039,9,-119.5,-120.5,-0.54,119.96,,,,,,,,16980
GAR000000005438,1994-11-17,GMW000000037660,B26A0243,4,-117.64,-118.64,-4.61,114.03,0.04,,0.93,,0.01,LT,2.3,20
GAR000000005439,1998-11-25,GMW000000037660,B26A0243,4,-117.64,-118.64,-4.61,114.03,0.11,LT,1.32,,0.006,LT,1.4,29
GAR000000005440,2015-10-08,GMW000000037660,B26A0243,4,-117.64,-118.64,-4.61,114.03,0.05,LT,1,,0.01,,7.8,26
GAR000000050570,2021-11-11,GMW000000041706,B11B0023,4,-117.6,-118.6,-0.33,118.27,0.05,LT,0.74,,0.01,LT,5.43,23.67
GAR000000064720,2024-11-05,GMW000000041706,B11B0023,4,-117.6,-118.6,-0.33,118.27,0.21,,0.81,,0.01,LT,4.99,23.26
